wallet,token_count,tokens,total_volume,AWR_vol,CFUCK_vol,DEFIMFER_vol,ROOKIE_vol,SOLTIT_vol,TRADIE_vol
AxR5o7n98EY6xoNGVhrJ3QGZAS2wRUcbzRnU5Dwbaev8,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,101045414.59,0.00,7242088.00,38223406.37,4862877.02,50717043.20,0.00
co1dafmGrEDyzjRGLwc7iw8woCwcUQFjaa6CWkmsKoJ,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,49396599.46,0.00,951440.24,30698517.04,3373530.69,14373111.50,0.00
EV7VScMVUyfe8LKczt5rgJjhfyJy4DnfRGcJJ9g3zjZB,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,45623728.79,0.00,3798333.42,23094705.10,1651036.19,17079654.08,0.00
7dGrdJRYtsNR8UYxZ3TnifXGjGc9eRYLq9sELwYpuuUu,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,36614342.66,0.00,75318.64,1188445.73,3838440.03,31512138.26,0.00
bobCPc5nqVoX7r8gKzCMPLrKjFidjnSCrAdcYGCH2Ye,4,DEFIMFER|ROOKIE|SOLTIT|TRADIE,31119990.24,0.00,0.00,12004592.46,129694.24,17588087.86,1397615.68
RaVenxw8kykBbW7KGBaBsb7fDkkBYK4uJVDSFun6ZxR,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,27705772.08,0.00,489392.45,20506335.81,5715714.52,994329.31,0.00
HydraXoSz7oE3774DoWQQaofKb31Kbn2cbcqG4ShKy85,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,12043384.07,0.00,2328473.21,5961557.73,1300628.12,2452725.01,0.00
LvjCuiYEvNiHiXNAMUPUDbuCrmaMTUyubLypXwn22Fm,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,10242029.53,0.00,1123529.38,5781893.29,933511.15,2403095.71,0.00
fck87VFtnrvWLd9UGUhAtqxWi9zBdoUi57gXgVPaic1,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,9374933.33,0.00,54733.65,7208109.49,321829.62,1790260.57,0.00
gtagyESa99t49VmUqnnfsuowYnigSNKuYXdXWyXWNdd,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,6906934.76,0.00,1251596.93,2653495.18,47459.48,2954383.17,0.00
8BvjKn3EfuUN22SpX1u6jVbcGwJgjQwkRqHns2LLQXSc,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,2725010.13,0.00,143202.04,661531.17,228388.90,1691888.02,0.00
HLtnuk5FLQr48jSpSw41xwaEqZ3MoucT1hmVzccToQZE,4,CFUCK|DEFIMFER|ROOKIE|SOLTIT,1339298.92,0.00,1029692.51,83366.73,151910.30,74329.38,0.00
XoXoL2gjxbKWVNtg672gzQjRi268nTonPHr24qZJzNb,3,CFUCK|ROOKIE|SOLTIT,14046233.30,0.00,2475480.76,0.00,2353879.37,9216873.17,0.00
5MGfsuYNRhbuN6x1M6WaR3721dSDGtXpcsHxNsgkjsXC,3,DEFIMFER|ROOKIE|SOLTIT,12071312.68,0.00,0.00,190922.73,11620538.92,259851.04,0.00
G4tinUhbt18yjMGEH2yn359gu54VL3Jj9T5rg8Qrfr41,3,CFUCK|ROOKIE|SOLTIT,11784510.61,0.00,1528859.50,0.00,188754.10,10066897.01,0.00
DCCEgz28WE8hZANzRbitk4jxJZWgTYp7wLXq5Au7tBbw,3,DEFIMFER|ROOKIE|SOLTIT,6666293.64,0.00,0.00,4313681.46,1689246.21,663365.97,0.00
FkdDHrM8j8psKbxuwjV1jBKCM2JGPygkj7WCX8sSCzNm,3,DEFIMFER|ROOKIE|SOLTIT,6460149.57,0.00,0.00,4419909.95,1984649.37,55590.25,0.00
DhNUu2rwxnsmwaLrdh6p9GoYD1Uj8YyiukZbLA2H4juy,3,DEFIMFER|ROOKIE|SOLTIT,5822079.46,0.00,0.00,2243588.77,351961.17,3226529.53,0.00
J4rVHricbGyECaZC4ccr8u4vcXUxjK5cCHBbUY79pkNN,3,CFUCK|DEFIMFER|ROOKIE,4815846.86,0.00,814733.24,749717.84,3251395.78,0.00,0.00
ZG98FUCjb8mJ824Gbs6RsgVmr1FhXb2oNiJHa2dwmPd,3,CFUCK|DEFIMFER|ROOKIE,2014845.58,0.00,810621.71,10611.89,1193611.98,0.00,0.00
arb9FAg5n8u63sXrHSTxNrBBuGf4LnMMMDFFhzCXMXU,3,CFUCK|DEFIMFER|ROOKIE,1717666.69,0.00,65745.50,765340.79,886580.41,0.00,0.00
2EZsc3KXSRusWxWnzEd7efQFcaxYpoh5LkwtvWohNKZB,3,CFUCK|DEFIMFER|ROOKIE,195641.41,0.00,50760.34,57305.73,87575.34,0.00,0.00
ATQs6A92eUzdxTBsQhRJxxJDpgYDTGvLnU4e5mMEfY3k,3,CFUCK|DEFIMFER|SOLTIT,73622.24,0.00,16945.54,30489.01,0.00,26187.69,0.00
GGztQqQ6pCPaJQnNpXBgELr5cs3WwDakRbh1iEMzjgSJ,2,CFUCK|ROOKIE,264443446.47,0.00,27150897.54,0.00,237292548.93,0.00,0.00
CkUZV387xnoGpF7wC2moMa6mPmAgCvTT4pWgzq4M9fCD,2,CFUCK|ROOKIE,70559253.78,0.00,3244196.24,0.00,67315057.55,0.00,0.00
HvFdDWS3RqymRAVx1ZdoL2RjiC38r5dtt19Z8op5jqDK,2,DEFIMFER|ROOKIE,60774329.81,0.00,0.00,59189483.90,1584845.92,0.00,0.00
7R9UKwY8XuSZ7nVDbnU6ZWbE5EZpw2ozWcA27JxS483h,2,CFUCK|DEFIMFER,38407134.86,0.00,1653227.32,36753907.54,0.00,0.00,0.00
6q5WAanAnVfpepRy6hHokkZy3aAUvyh2VLVG4c1dKEuM,2,CFUCK|ROOKIE,36487953.21,0.00,24079948.26,0.00,12408004.94,0.00,0.00
avg1twbiWyaGiaw8o7gF9uYho5CvBRSwt6xJZuEZuME,2,CFUCK|ROOKIE,20786152.83,0.00,17061859.47,0.00,3724293.36,0.00,0.00
HuTshmtwcQkWBLzgW3m4uwcmik7Lmz4YFpYcTqMJpXiP,2,CFUCK|ROOKIE,19322294.21,0.00,12489839.74,0.00,6832454.46,0.00,0.00
6eT6tdrCxKLb58B4imgeRJ2eSzYidjdxMrZKGHkNok9w,2,DEFIMFER|ROOKIE,7012105.13,0.00,0.00,808299.51,6203805.62,0.00,0.00
6TYDxGmVxkBPBmEfnmLXx6jVff9LknsjRHqdTjVyZmG8,2,CFUCK|ROOKIE,5375858.47,0.00,2197293.58,0.00,3178564.90,0.00,0.00
damnjbgs5YiNCfQYqms2pL5ynNLkQ4WHfrELEFczNZA,2,DEFIMFER|SOLTIT,4162184.55,0.00,0.00,307277.55,0.00,3854906.99,0.00
xUwUxxg5eLEVfowp1ki2we8JWJjukkriVLY39c55nqa,2,CFUCK|SOLTIT,2963656.54,0.00,715340.57,0.00,0.00,2248315.97,0.00
j1opmdubY84LUeidrPCsSGskTCYmeJVzds1UWm6nngb,2,CFUCK|ROOKIE,2756782.63,0.00,1304699.90,0.00,1452082.73,0.00,0.00
GHigB15jr7wZ8GitjD4Hf5naqyUJfMbKa1n1PmSiBhUc,2,CFUCK|ROOKIE,1388485.97,0.00,1373012.93,0.00,15473.04,0.00,0.00
5MWRP3g9GiD7cJPZdH3z2G43cCfDhrW7fBwXYkwPFRFr,2,CFUCK|ROOKIE,1282701.33,0.00,274721.64,0.00,1007979.68,0.00,0.00
4wZHpL6wnggwoNkbRtENQBWYT2h7bvdFt2dw2nPY2gpx,2,CFUCK|ROOKIE,1006931.11,0.00,911037.78,0.00,95893.33,0.00,0.00
FvJEBoxZHK76mBFm1th1ZonyEnU1vUHsvGZAUHnoVbt7,2,CFUCK|ROOKIE,674758.40,0.00,244172.15,0.00,430586.25,0.00,0.00
87ncsi58DTgmEWsA1yCMf23ZziKMQGcUx4jLY8fgbKDF,2,CFUCK|ROOKIE,585363.58,0.00,192971.35,0.00,392392.22,0.00,0.00
5wMHFyCgRrggsKWrvS2zHDHi7V6xfwfSAsZG95LwXYUQ,2,ROOKIE|SOLTIT,430210.38,0.00,0.00,0.00,84698.00,345512.38,0.00
Jobs6q49fhgU6kRDKD4NsTZaBm13u28zC73UZkNqBZH,2,CFUCK|ROOKIE,260440.88,0.00,77030.00,0.00,183410.88,0.00,0.00
26ooGGTHJwqr56cNg68oQge98LHw7Gq6HQw4grycFtEb,2,CFUCK|ROOKIE,233051.76,0.00,172844.67,0.00,60207.10,0.00,0.00
CV6Zkzkn4tutayzNEXK3ZS86qVTnTKkMLFJewMrpmEig,2,CFUCK|ROOKIE,226379.79,0.00,204485.26,0.00,21894.53,0.00,0.00
BEochrdGhm5pcKVF73DURYrGo1DLzxq6bBcUBphQR64d,2,DEFIMFER|ROOKIE,156533.26,0.00,0.00,92467.54,64065.72,0.00,0.00
