week,buys,sells,transfers,sol_spent,sol_received,unique_buyers,unique_sellers
2025-10-06,565,578,2670,9.9537,7.4217,188,166
2025-10-13,352,207,1299,20.6191,7.8105,67,57
2025-10-20,96,82,493,8.6055,15.2198,34,37
2025-10-27,147,136,662,22.5071,19.4444,38,43
2025-11-03,129,87,486,12.7291,8.4318,26,19
2025-11-10,151,55,556,14.3964,11.6063,18,23
2025-11-17,144,64,544,18.4594,25.7359,19,23
2025-11-24,96,70,448,6.2428,12.4327,16,28
2025-12-01,72,42,302,9.0563,13.5418,15,21
2025-12-08,109,200,934,18.6588,131.3592,49,81
2025-12-15,17,62,333,0.7974,27.2424,10,22
